2025-07-15 16:04:41,383 INFO    MainThread:57335 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_setup.py:_flush():70] Configure stats pid to 57335
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_setup.py:_flush():70] Loading settings from /Users/xrong8/.config/wandb/settings
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_setup.py:_flush():70] Loading settings from /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/settings
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/run-20250715_160441-owhfag8h/logs/debug.log
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/run-20250715_160441-owhfag8h/logs/debug-internal.log
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_init.py:init():852] calling init triggers
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_init.py:init():857] wandb.init called with sweep_config: {'K': 9}
config: {'_wandb': {}}
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_init.py:init():893] starting backend
2025-07-15 16:04:41,384 INFO    MainThread:57335 [wandb_init.py:init():897] sending inform_init request
2025-07-15 16:04:41,408 INFO    MainThread:57335 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-07-15 16:04:41,409 INFO    MainThread:57335 [wandb_init.py:init():907] backend started and connected
2025-07-15 16:04:41,410 INFO    MainThread:57335 [wandb_run.py:_config_callback():1436] config_cb None None {'K': 9}
2025-07-15 16:04:41,411 INFO    MainThread:57335 [wandb_init.py:init():1005] updated telemetry
2025-07-15 16:04:41,429 INFO    MainThread:57335 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-07-15 16:04:41,693 INFO    MainThread:57335 [wandb_init.py:init():1104] starting run threads in backend
2025-07-15 16:04:42,615 INFO    MainThread:57335 [wandb_run.py:_console_start():2573] atexit reg
2025-07-15 16:04:42,615 INFO    MainThread:57335 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-07-15 16:04:42,615 INFO    MainThread:57335 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-07-15 16:04:42,615 INFO    MainThread:57335 [wandb_run.py:_redirect():2513] Redirects installed.
2025-07-15 16:04:42,616 INFO    MainThread:57335 [wandb_init.py:init():1150] run started, returning control to user process
2025-07-15 16:04:43,836 INFO    MsgRouterThr:57335 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
