2025-07-15 16:31:21,213 INFO    MainThread:59373 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-07-15 16:31:21,214 INFO    MainThread:59373 [wandb_setup.py:_flush():70] Configure stats pid to 59373
2025-07-15 16:31:21,214 INFO    MainThread:59373 [wandb_setup.py:_flush():70] Loading settings from /Users/xrong8/.config/wandb/settings
2025-07-15 16:31:21,214 INFO    MainThread:59373 [wandb_setup.py:_flush():70] Loading settings from /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/settings
2025-07-15 16:31:21,214 INFO    MainThread:59373 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-07-15 16:31:21,214 INFO    MainThread:59373 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/run-20250715_163121-mhq22x2z/logs/debug.log
2025-07-15 16:31:21,214 INFO    MainThread:59373 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /Users/xrong8/Documents/CXRProject/ConeClustering/wandb/run-20250715_163121-mhq22x2z/logs/debug-internal.log
2025-07-15 16:31:21,215 INFO    MainThread:59373 [wandb_init.py:init():852] calling init triggers
2025-07-15 16:31:21,215 INFO    MainThread:59373 [wandb_init.py:init():857] wandb.init called with sweep_config: {'alpha': 2.3320218931032333}
config: {'_wandb': {}}
2025-07-15 16:31:21,215 INFO    MainThread:59373 [wandb_init.py:init():893] starting backend
2025-07-15 16:31:21,215 INFO    MainThread:59373 [wandb_init.py:init():897] sending inform_init request
2025-07-15 16:31:21,247 INFO    MainThread:59373 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-07-15 16:31:21,247 INFO    MainThread:59373 [wandb_init.py:init():907] backend started and connected
2025-07-15 16:31:21,249 INFO    MainThread:59373 [wandb_run.py:_config_callback():1436] config_cb None None {'alpha': 2.3320218931032333}
2025-07-15 16:31:21,251 INFO    MainThread:59373 [wandb_init.py:init():1005] updated telemetry
2025-07-15 16:31:21,270 INFO    MainThread:59373 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-07-15 16:31:21,706 INFO    MainThread:59373 [wandb_init.py:init():1104] starting run threads in backend
2025-07-15 16:31:22,652 INFO    MainThread:59373 [wandb_run.py:_console_start():2573] atexit reg
2025-07-15 16:31:22,652 INFO    MainThread:59373 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-07-15 16:31:22,652 INFO    MainThread:59373 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-07-15 16:31:22,652 INFO    MainThread:59373 [wandb_run.py:_redirect():2513] Redirects installed.
2025-07-15 16:31:22,653 INFO    MainThread:59373 [wandb_init.py:init():1150] run started, returning control to user process
2025-07-15 16:31:38,059 INFO    MainThread:59373 [wandb_run.py:_finish():2321] finishing run xrong8-university-of-wisconsin-madison/coneClustering/mhq22x2z
2025-07-15 16:31:38,059 INFO    MainThread:59373 [wandb_run.py:_atexit_cleanup():2538] got exitcode: 0
2025-07-15 16:31:38,059 INFO    MainThread:59373 [wandb_run.py:_restore():2520] restore
2025-07-15 16:31:38,059 INFO    MainThread:59373 [wandb_run.py:_restore():2526] restore done
2025-07-15 16:31:40,630 INFO    MainThread:59373 [wandb_run.py:_footer_history_summary_info():4188] rendering history
2025-07-15 16:31:40,631 INFO    MainThread:59373 [wandb_run.py:_footer_history_summary_info():4220] rendering summary
2025-07-15 16:31:40,631 INFO    MainThread:59373 [wandb_run.py:_footer_sync_info():4149] logging synced files
